"","1-2","2-4","4-8","8-16","16-32","32-64","64-128","128-256","256-512","512-1024"
"1806",9967.78641427464,10402.5785437327,8852.46064511365,9259.26076951735,9382.66611240378,11249.6297906072,11978.5275255286,11725.8473895126,12255.0836854777,10960.7476213943
"1807",9969.14449273016,10401.911612243,8848.46064511365,9272.51719567483,9381.66611240378,11248.6297906072,11974.5275255286,11723.8473895126,12253.0836854777,10960.7476213943
"1808",9969.14449273016,10401.911612243,8848.46064511365,9272.51719567483,9381.66611240378,11248.6297906072,11974.5275255286,11723.8473895126,12253.0836854777,10960.7476213943
"1809",9967.14449273016,10399.911612243,8847.46064511365,9288.33051811438,9380.66611240378,11245.6297906072,11970.5275255286,11720.8473895126,12253.0836854777,10960.7476213943
"1810",9967.14449273016,10396.911612243,8846.46064511365,9300.33051811438,9380.66611240378,11245.6297906072,11970.5275255286,11719.8473895126,12253.0836854777,10960.7476213943
"1811",9967.14449273016,10396.911612243,8846.46064511365,9300.33051811438,9380.66611240378,11245.6297906072,11970.5275255286,11719.8473895126,12253.0836854777,10960.7476213943
"1812",9967.14449273016,10396.911612243,8846.46064511365,9300.33051811438,9380.66611240378,11245.6297906072,11970.5275255286,11719.8473895126,12253.0836854777,10960.7476213943
"1813",9967.14449273016,10396.911612243,8846.46064511365,9300.33051811438,9380.66611240378,11245.6297906072,11970.5275255286,11719.8473895126,12253.0836854777,10960.7476213943
"1814",9967.14449273016,10396.831612243,8843.46064511365,9307.73051811438,9406.66611240378,11244.6297906072,11967.5275255286,11719.8473895126,12252.0836854777,10960.7476213943
"1815",9967.89449273016,10392.7596355774,8837.46064511365,9305.73051811438,9400.66611240378,11244.6297906072,11961.5275255286,11715.8473895126,12248.0836854777,10959.7476213943
"1816",9967.50333554687,10390.8635233489,8847.02302488782,9302.73051811438,9397.66611240378,11243.6297906072,11956.5275255286,11715.8473895126,12245.0836854777,10958.7476213943
"1817",9967.40333554687,10386.8635233489,8846.02302488782,9300.73051811438,9396.66611240378,11240.6297906072,11954.5275255286,11713.8473895126,12244.0836854777,10958.7476213943
"1818",9966.40333554687,10385.0635233489,8848.82302488782,9305.81690780238,9393.66611240378,11235.6297906072,11949.5275255286,11712.8473895126,12242.0836854777,10957.7476213943
"1819",9966.40333554687,10383.4392553189,8844.82302488782,9316.64660259238,9392.66611240378,11231.6297906072,11948.5275255286,11711.8473895126,12241.0836854777,10956.7476213943
"1820",9966.40333554687,10383.4392553189,8844.82302488782,9316.64660259238,9392.66611240378,11231.6297906072,11948.5275255286,11711.8473895126,12241.0836854777,10956.7476213943
"1821",9964.71403081712,10379.4392553189,8843.02866466825,9319.21676571518,9384.66611240378,11259.924034803,11943.5275255286,11710.8473895126,12241.0836854777,10956.7476213943
"1822",9964.54252943324,10375.3776404139,8845.46446249811,9336.06202686551,9380.66611240378,11255.924034803,11940.5275255286,11709.8473895126,12238.0836854777,10956.7476213943
"1823",9964.89604457901,10378.7964973513,8845.46446249811,9332.06202686551,9374.66611240378,11253.924034803,11937.5275255286,11706.8473895126,12233.0836854777,10955.7476213943
"1824",9964.89604457901,10376.7964973513,8844.46446249811,9339.69480209385,9373.66611240378,11253.924034803,11937.5275255286,11705.8473895126,12229.0836854777,10952.7476213943
"1825",9967.52623125677,10374.7964973513,8841.46446249811,9337.69480209385,9372.66611240378,11249.924034803,11936.5275255286,11704.8473895126,12229.0836854777,10952.7476213943
"1826",9967.52623125677,10381.4666691152,8837.46446249811,9335.69480209385,9369.66611240378,11244.924034803,11932.5275255286,11700.8473895126,12228.0836854777,10951.7476213943
"1827",9967.71623125677,10379.4666691152,8832.46446249811,9342.69480209385,9369.66611240378,11243.924034803,11930.5275255286,11698.8473895126,12227.0836854777,10950.7476213943
"1828",9967.41565972566,10382.4551010435,8831.46446249811,9340.69480209385,9365.66611240378,11241.924034803,11927.5275255286,11697.8473895126,12227.0836854777,10950.7476213943
