"EVENT_ID","MENU_HINT","EVENT_NAME","EVENT_DT","SELECTION_ID","SELECTION_NAME","WIN_LOSE","BSP","PPWAP","MORNINGWAP","PPMAX","PPMIN","IPMAX","IPMIN","MORNINGTRADEDVOL","PPTRADEDVOL","IPTRADEDVOL","Date","Year","Month"
"20390895","GB / Leic 28th Apr","1m Hcap","28-04-2007 17:35","2157016","Feeling Wonderful","0","","5.11635385435781352160316288228105324484","4.3995791056432090251726872249088159904","6","3.6","1000","2","4749.8","46794.98","5046.12",2007-04-28 17:35:00,2007,4
"20390897","GB / Ripon 28th Apr","6f Hcap","28-04-2007 14:30","1441416","Fool Me","0","","33.6299246493855400828700276609978672466","28.9206620095294596332733568768633035515","46","21","34","26","537.1","3842.22","109.9",2007-04-28 14:30:00,2007,4
"20390897","GB / Ripon 28th Apr","6f Hcap","28-04-2007 14:30","1453282","Fontana Amorosa","0","","13.0530998107886212242831352246816907031","8.93582582269728867779699490641483488096","19","8","40","14","1819.2","14457.4","300.16",2007-04-28 14:30:00,2007,4
"20390897","GB / Ripon 28th Apr","6f Hcap","28-04-2007 14:30","1453320","Prospect Place","0","","38.9878479088749507611778127913317524257","40.6667608212989530687931972183706030548","60","29","28","11","315.1","3397.04","152.64",2007-04-28 14:30:00,2007,4
"20390897","GB / Ripon 28th Apr","6f Hcap","28-04-2007 14:30","1453329","Everymanforhimself","0","","26.6356311396587782607547724163680702166","20.408687515191976742338473867936119856","40","19","55","15","1028","5396.46","96.3",2007-04-28 14:30:00,2007,4
"20390897","GB / Ripon 28th Apr","6f Hcap","28-04-2007 14:30","1465954","Top Bid","0","","112.22310416623625601036610494882845886","86.563690182527971156073693855021217972","280","18.5","120","5","445.5","1715.9","444.16",2007-04-28 14:30:00,2007,4
"20390897","GB / Ripon 28th Apr","6f Hcap","28-04-2007 14:30","1472572","Ebn Reem","0","","2.35741231791918021967246903025769468117","2.42009458566036900759324312820261523667","2.9","2.02","1000","1.85","47047.38","545242.72","30843.02",2007-04-28 14:30:00,2007,4
"20390897","GB / Ripon 28th Apr","6f Hcap","28-04-2007 14:30","1472587","Northern Fling","1","","29.3356114700283741018584794371287509028","26.8771735432195234050592904440009617289","42","19.5","34","1.01","673.66","4238.98","28672.18",2007-04-28 14:30:00,2007,4
"20390897","GB / Ripon 28th Apr","6f Hcap","28-04-2007 14:30","1476039","Dickie Le Davoir","0","","38.086248603321002614866870238778587636","46.7663723709018468933437782048857889654","60","24","40","2.02","334.74","3858.64","2259.78",2007-04-28 14:30:00,2007,4
"20390897","GB / Ripon 28th Apr","6f Hcap","28-04-2007 14:30","1492964","Ponty Rossa","0","","17.0591927245029604091215512294100034555","19.1030873071014202054677602018345806702","25","15","180","1.55","1192.16","11398.94","9346.92",2007-04-28 14:30:00,2007,4
